Product,Refrigerated,Frozen,Category,Refrigerated in days,Frozen in days
Molasses,12 months,N/A,Shelf-stable foods,30,-1
"Mushrooms, dried",6 months,N/A,Shelf-stable foods,180,-1
"Oils, olive or vegetable",6 months,4 months,Shelf-stable foods,180,120
"Nuts, jars or cans",12 months,4-6 months,Shelf-stable foods,30,120
"Pasta, dry, without eggs",2 years,N/A,Shelf-stable foods,730,-1
Dry egg noodles,2 years,N/A,Shelf-stable foods,730,-1
"Peanut butter, commercial",6-9 months,N/A,Shelf-stable foods,180,-1
"Peas, dried split",12 months,N/A,Shelf-stable foods,30,-1
Pectin,Use by pkg. date,N/A,Shelf-stable foods,-1,-1
"Popcorn, dry kernels in jar",2 years,N/A,Shelf-stable foods,730,-1
Commercially popped in bags,2-3 months,N/A,Shelf-stable foods,60,-1
Potato chips,2 months,N/A,Shelf-stable foods,60,-1
"Potatoes, instant",6-12 months,N/A,Shelf-stable foods,180,-1
Pudding mixes,12 months,N/A,Shelf-stable foods,30,-1
Rice,2 years,6 months,Shelf-stable foods,730,180
"Sauce mixes, nondairy",2 years,N/A,Shelf-stable foods,730,-1
Soda such as carbonated cola drinks,3 months,2-3 days,Shelf-stable foods,90,2
"Soup mixes, dry bouillon",12 months,N/A,Shelf-stable foods,30,-1
"Soy or rice beverage,",3 months,7-10 days,Shelf-stable foods,90,7
Spaghetti sauce in jars,18 months,4 days,Shelf-stable foods,30,4
"Baby food, jars or cans, fruits & vegetables",Use-by date,2-3 days,Shelf-stable foods,-1,2
meats & eggs,Use-by date,1 day,Shelf-stable foods,-1,1
"cereal, dry mixes",Use-by date,N/A,Shelf-stable foods,-1,-1
Formula,Use-by date,1-2 days,Shelf-stable foods,-1,1
"Bacon Bits, Imitation",4 months,refer to jar,Shelf-stable foods,120,-1
"Beans, Dried",12 months,N/A,Shelf-stable foods,30,-1
"Canned goods, low acid (such as meat, poultry, fish, gravy, stew, soups, beans, carrots, corn, pasta, peas, potatoes, spinach)",2-5 years,3-4 days,Shelf-stable foods,730,3
"Canned goods, high acid (such as juices, fruit, pickles, sauerkraut, tomato soup, and foods in vinegar-based sauce)",12-18 months,5-7 days,Shelf-stable foods,30,5
"Cereal, ready-to-eat",6-12 months,N/A,Shelf-stable foods,180,-1
"Cook before eating (oatmeal, etc.)",12 months,N/A,Shelf-stable foods,30,-1
"Coffee, whole beans",1-3 weeks,2 weeks,Shelf-stable foods,7,14
"coffee non-vacuum bag, ground, in cans",2 years,2 weeks,Shelf-stable foods,730,14
"coffee instant, jars and tins",12 months,2 weeks,Shelf-stable foods,30,14
Spices,2-4 years total,N/A,Shelf-stable foods,730,-1
"Sugar, brown",4 months,N/A,Shelf-stable foods,120,-1
"Syrup, pancake",12 months,12 months,Shelf-stable foods,30,30
Tapioca,12 months,N/A,Shelf-stable foods,30,-1
"Tea, bags",18 months,N/A,Shelf-stable foods,30,-1
Toaster pastries,6 months,N/A,Shelf-stable foods,180,-1
"Tomatoes, sun dried,",12 months,6-12 months,Shelf-stable foods,30,180
Vinegar,2 years,N/A,Shelf-stable foods,730,-1
"Water, bottled",1-2 years,N/A,Shelf-stable foods,365,-1
Worcestershire Sauce,1 year,N/A,Shelf-stable foods,365,-1
"Bread, commercial",2-4 days,7-14 days,Backery items,2,7
"Bread, flat",2-4 days,4-7 days,Backery items,2,4
"Cakes, angel food",1-2 days,1 week,Backery items,1,7
"chiffon, sponge cake",1-2 days,1 week,Backery items,1,7
chocolate cake,1-2 days,1 week,Backery items,1,7
Cheesecake,N/A,1 week,Backery items,-1,7
"Cookies, bakery",2-3 weeks,2 months,Backery items,14,60
"Croissants, butter",1 day,1 week,Backery items,1,7
"Doughnuts, glazed or cake",1-2 days,1 week,Backery items,1,7
"Eclairs, dairy cream filled",N/A,3-4 days,Backery items,-1,3
Muffins,1-2 days,1 week,Backery items,1,7
"Pastries, danish",1-2 days,1 week,Backery items,1,7
"Pies, cream",N/A,3-4 days,Backery items,-1,3
Quiche,2 hours,3-4 days,Backery items,-1,3
"Rolls, yeast, baked",3-4 days,1 week,Backery items,3,7
Baking powder,6 months,N/A,Baking Ingredients,180,-1
Baking soda,18 months,N/A,Baking Ingredients,30,-1
Biscuit or pancake mix,15 months,N/A,Baking Ingredients,30,-1
"Cake, Brownie, Bread Mixes",12-18 months,N/A,Baking Ingredients,30,-1
"Cornmeal, regular, degerminated",6-12 months,12 months,Baking Ingredients,180,30
stone ground or blue,1 month,2-3 months,Baking Ingredients,30,60
Cornstarch,18 months,N/A,Baking Ingredients,30,-1
"Flour, white",6-12 months,N/A,Baking Ingredients,180,-1
"Flour, whole wheat",1 month,6-8 months,Baking Ingredients,30,180
"Frosting, canned",10 months,1 week,Baking Ingredients,30,7
Frosting mixes,12 months,N/A,Baking Ingredients,30,-1
"Chocolate, unsweetened and semi-sweet, solid",18-24 months,N/A,Baking Ingredients,30,-1
Chocolate syrup,2 years,6 months,Baking Ingredients,730,180
Cocoa and Cocoa Mixes,Indefinitely,N/A,Baking Ingredients,-1,-1
Barbecue sauce,12 months,4 months,Condiments,30,120
Ketchup,12 months,6 months,Condiments,30,180
Chutney,12 months,1-2 months,Condiments,30,30
Horseradish,12 months,3-4 months,Condiments,30,90
Mayonnaise,2-3 months,2 months,Condiments,60,60
Mustard,12 months,12 months,Condiments,30,30
Olives,12-18 months,2 weeks,Condiments,30,14
Pickles,12 months,1-2 weeks,Condiments,30,7
Salad Dressings,10-12 months,3 months,Condiments,30,90
Salsa,12 months,1 month,Condiments,30,30
COOKIES,2 months,8-12 months,Condiments,60,240
CRACKERS,8 months,3-4 months,Condiments,240,90
